Series_Number,Filename,Name,Description,Gender,Attributes,UUID,HASH
181,beauty-of-town,beauty of town,She is the most beautiful in the neighbourhood,Female,"hair:Pitch, strengths: powerful, weakness: sentimental",7241a1be-59da-11ed-9b6a-0242ac120002,7626a697d804bbba269651799d961aff6fb24d6563d2b48d2c980b8736654c36
182,lola-babe,lola babe,Looking hot as always,Female,"hair:brown, strengths: calculative, weakness: public speaking",7241a664-59da-11ed-9b6a-0242ac120002,8e0955df3178f42cc488b6bb1d81e2a147f7cae50a07e55cb37fac18b38ba247
183,cardy_h-sharp-babe,cardy h sharp babe,Cardy is the sharpest amongst her friends,Female,"hair: two brown bun, strengths: free spirit weakness: blind ",7241a7c2-59da-11ed-9b6a-0242ac120002,2e131370da0e2108e569f34cf1f17f3606ecafceb6bc6ecc29540a8d5a6a2981
184,bella-the-baller,bella the baller,Baller for Life,Female,"hair: Pitch afro, strengths: adaptation, weakness: fluency",7241ad26-59da-11ed-9b6a-0242ac120002,a6600b86e3518473c56b49320cd1e739eba78921065d4491255e02f15e41591e
185,milly-of-roses,milly of roses,Her lips so red like a rose,Female,"hair: brown afro, strengths: cool headed, weakness: pressure",7241af92-59da-11ed-9b6a-0242ac120002,56a384a0144320d985ce76e971fd5fc8256f4c67e0ca6e0b3a4d45e812b0a8a6
186,Preciousjada-the-viper,Preciousjada the viper,Her words stings likes a viper,Female,"hair: ginger afro, strengths: confidence, weakness: endurance",7241b12c-59da-11ed-9b6a-0242ac120002,5ff60a7ba311539b1bbd00c407c8ec199c81efc570652bc63d768631778b41c3
187,lolly-of-NY,lolly of NY,Most popular in NY,Female,"hair: purple braids, strength: strong willed, weakness: relationship",7241b2ee-59da-11ed-9b6a-0242ac120002,9184325049cce1383526fe29c6289a8c48050ddf8de5b962ca516c625d875434
188,Disy-the-dancer,Disy the dancer,Dances her way into any show,Female,"hair: bald, strength: cleaniness, weakness: perfectionist",7241b4c4-59da-11ed-9b6a-0242ac120002,acc5b372e92867d7be5001433ee1bd149d52c5778b1a0dc0f9e5da64a6c43b05
189,Jenny-the-great,Jenny the great,The greatest of our time,Female,"hair: black tied with scalf, strength: badass weakness: cancer",7241b852-59da-11ed-9b6a-0242ac120002,9fdcdd1ba52c44a2738fe78d6a7b181e067fbaa511065c476a368062d6dd280b
190,lolly-the-pop,lolly the pop,Seeing lolly makes me pop,Female,"hair: bald, strength: peaceful weakness: anger",7241ba00-59da-11ed-9b6a-0242ac120002,7736ffd4da4448fdcc1ed7be438ed03917a1f64f2010f8234003f80e23aab46c
191,disy-the-queen,disy the queen,The queen in her own space,Female,"hair: one bun dark brown, strength: beauty, weakness: lover girl",7241bda2-59da-11ed-9b6a-0242ac120002,052a3053a1ac879d1328e3d94762e13c9bd0e88a786d770fbc3abf1940eded35
192,JennyP-of-Lagos,JennyP of Lagos,A well known celebrity in Lagos,Female,"hair: bald, strength: super powerful, weakness: sleeping",7241bf1e-59da-11ed-9b6a-0242ac120002,86e73c1b6c98d3f10eeabc141f6d4b1bb55957595e964be488c980900d6bf191
193,Jada-of-life,Jada of life,Her business signature,Female,"hair: male, strength: calm weakness: sun",7241c202-59da-11ed-9b6a-0242ac120002,1ac67046bfab6c2238135c17026fc82cf146044c14c09d5ca69fc2323d0d841a
194,Sandy-the-rapper,Sandy the rapper,She just loves to rap,Female,"hair: bald, strength: clean weakness: foodie",7241c342-59da-11ed-9b6a-0242ac120002,72a0f71ed0b046124da2bb781365ee8b25147facd3c9f6706b1778b68975fceb
195,Dahila-the-genius,Dahila the genius,The genius in the family,Female,"hair: bald, strength: activist, weakness: irrational",7241c4fa-59da-11ed-9b6a-0242ac120002,aa4fa29d09a49d6a79e0af9f2601ad5165cef490d7eb89bace5fbbf4f339ebd4
196,Rosemary-of-Yaba,Rosemary of Yaba,She has a cloth store in Yaba,Female,"hair: bald, strength: mind games, weakness: insomia",7241c61c-59da-11ed-9b6a-0242ac120002,ef270a5a7cbfa7464d616bb01b1308eda1bcf16d9553c12b34199e9d10c84553
197,Jennifer-of -island,Jennifer of island,She goes on vacation to the island,Female,"hair: bald, strength: strong , weakness: lateness",7241ca18-59da-11ed-9b6a-0242ac120002,7152c71f3a4a7da1d7611feea1ce1f1dcece7d02a874bccf2dff8298298a5a66
198,Opeyemi-of-lekki,Opeyemi of lekki,Opeyemi lives in lekki,Female,"hair: bald, strength: conversationist, weakness: traditionalist",7241c8e2-59da-11ed-9b6a-0242ac120002,5479eb5d189261c9757aea971f17411792f10dbbcbdc418ed4a05128b3f3d405
199,Vicky-the-artist,Vicky the artist,Brings life into what she draws,Female,"hair: bald, strength: strong willed, weakness: crying",7241cb3a-59da-11ed-9b6a-0242ac120002,5bcea2f81728d7251c4cda3a17ac4f38c343a9b94d414e47863340c8a02de099
200,Afrogirl-sailor,Afrogirl sailor,She loves to sail the ocean,Female,"hair: bald, strength: height,  weakness: pride",7241cc66-59da-11ed-9b6a-0242ac120002,5eb6b7b1d0f909154d52cc056fbbd30b56d30ba1eb0af3d617c65782e5a25262
,,,,,,,5de3e4fcbf75b5bd3207eb0f8095b6469c289cdfae93d4e1693246ee6e76f0d1
201,Ahmed-the-merchant,Ahmed the merchant,A rich merchant that sells in babylon,male,"hair: none, eyes: closed, teeth: none, clothing: one-hand, accessories: none, expression: smiling, strength: business, weakness: alcohol",bfb62844-59ca-11ed-9b6a-0242ac120002,3b8729c2c72bc56f0f524bf99526dad852ab92cb4855c6c9534945b68567fec6
202,Blind-Tonia,Blind Tonia,A girl that lost one of her eyes in a street fight,female,"hair: brown, eyes: one, teeth: none, clothing: blouse, accessories: none, expression: none, strength: smiling, weakness: none",bfb62c86-59ca-11ed-9b6a-0242ac120002,8b012c11f383a00663670fcb999598ae3315eff5950a49b2ca76917b2b4d799c
203,Buffy-the-vampire,Buffy the vampire,A vampire diary protagonist that got bitten by a vampire in real life,female,"hair: none, eyes: small, teeth: two, clothing: shirt, accessories: none, expression: none, strength: biting, weakness: none",bfb62e02-59ca-11ed-9b6a-0242ac120002,31a73ccdcdd05d71b73973d197f5bb36dfb093edf6e6077bafb5ce7c968a0735
204,Caro-lipstick,Caro lipstick,"A girl that puts on lipstick always, even to bed",female,"hair: brown, eyes: glasses, teeth: none, clothing: blouse, accessories: none, expression: sazzy, strength: none, weakness: none",bfb62f4c-59ca-11ed-9b6a-0242ac120002,30a9595061408f6457444a49a771db4a1285dfb2adc03e8876551332d23cc36b
205,Charity-the-maid,Charity the maid,A maid that works for the fun of it,female,"hair: brown, eyes: blue, teeth: smoke, clothing: blouse, accessories: none, expression: none, strength: none, weakness: smoking",bfb63096-59ca-11ed-9b6a-0242ac120002,cae32cb928051a44deb853d1bff5d95b49ae057929f0c436c5ec55ea377cf550
206,Charity-with-fakehair,Charity with fakehair,A girl with a bald hair but always wears wig to cover her head,female,"hair: orange, eyes: glasses, teeth: none, clothing: blouse, accessories: normal, expression: none, strength: none, weakness: barbing-saloon",bfb631c2-59ca-11ed-9b6a-0242ac120002,03152cf0bb6800790d2750ad5be82900989b52e47d9fc1dd1770b6cb06579712
207,Daniel-the-hustler,Daniel the hustler,A boy that lives in the streets of Lagos hustling everyday to make ends meet,male,"hair: none, eyes: black, teeth: none, clothing: shirt, accessories: gang, expression: smiling, strength: hustling, weakness: alcohol",bfb632e4-59ca-11ed-9b6a-0242ac120002,69b0838c14bebdeaa032f41faa5036e24aa23ae837e89166cbe57d3a793f5b75
208,Grandma-Nanny,Grandma Nanny,A grandmother that does nothing but sleeps all day,female,"hair: white, eyes: blue, teeth: none, clothing: blouse, accessories: fashion, expression: smiling, strength: design, weakness: none",bfb63406-59ca-11ed-9b6a-0242ac120002,0047b4c59c60c4af2006f6aa650d47e59e6eff3d699bfeb38ade9ccfb2e1667d
209,Granpa-Willy,Granpa Willy,A grandfather that drinks beer and reads newspaper all day,male,"hair: white, eyes: black, teeth: none, clothing: shirt, accessories: fashion, expression: smiling, strength: reading, weakness: drinking",bfb6380c-59ca-11ed-9b6a-0242ac120002,d14d4d1103390c00dbc6b0d5c88b7175d10780d8d6e3283bc302622548897a11
210,Joshua-gang-leader,Joshua gang leader,A boy born to ritualist parents and now runs his own gang,male,"hair: brown, eyes: black, teeth: gold, clothing: shirt, accessories: ponk, expression: suspicion, strength: none, weakness: none",bfb63956-59ca-11ed-9b6a-0242ac120002,f14b6d4e2c8a879e6f9cdcf41ec4c0149ee548bb69f6d14c3b0e6a5d57de68fb
211,Karashika-queen,Karashika queen,A woman of the underworld that influences rich men into giving up their money,female,"hair: white, eyes: glasses, teeth: none, clothing: blouse, accessories: fashion, expression: none, strength: design, weakness: boys",bfb63a8c-59ca-11ed-9b6a-0242ac120002,2b5c0ebd0e8b5e1ce7b99b181aa2eda8c56574106d3ff0e9cb67bcb53731b18f
212,King-of-baldmen,King of baldmen,A man that was born bald and has never seen a hair on his head,male,"hair: cap, eyes: black, teeth: none, clothing: shirt, accessories: fashion, expression: smirk, strength: deceit, weakness: none",bfb63c62-59ca-11ed-9b6a-0242ac120002,a76e46a27e7aa4a5959d0c1a93214a7b527f4119d4f7bd274a412639e9abe177
213,Musa-masked-mouth,Musa masked mouth,Musa uses a tape to cover his mouth to prevent him from talking too much,male,"hair: cap, eyes: closed, teeth: none, clothing: shirt, accessories: fashion, expression: none, strength: dressing, weakness: none",bfb63db6-59ca-11ed-9b6a-0242ac120002,d16e1e0ae5d5fa746304abefaf5485eba446839e57feaaebc4602b528790232c
214,Queen-of-smokers,Queen of smokers,A chronic smoker looking for a spouse that will join her to die of smoking,female,"hair: brown, eyes: glasses, teeth: smoke, clothing: blouse, accessories: none, expression: none, strength: none, weakness: smoking",bfb63ee2-59ca-11ed-9b6a-0242ac120002,911ce85dd2fca1e90de15f0cbcbf196ba13cc2d0457faafdabfc492fc3794e9d
215,Redlips-man,Redlips man,A man that kissed a woman and got his lips burnt,male,"hair: brown, eyes: blue, teeth: none, clothing: shirt, accessories: none, expression: frown, strength: chewing, weakness: none",bfb64004-59ca-11ed-9b6a-0242ac120002,b249ac5dc234af21759b873fb93f837c6deb4cd8f4f5e141f18adefd7ab1f33f
216,Sleevless-maid,Sleevless maid,A girl that nevers wears long cloths and gets herself thrown out of churches for indecent dressing,female,"hair: white, eyes: blue, teeth: none, clothing: shirt, accessories: tan, expression: none, strength: seduction, weakness: none",bfb64338-59ca-11ed-9b6a-0242ac120002,70af359fa2db66aeb89dc0aedba84751358548677117df815cf7360664d1d5e0
217,Stephen-bluecap,Stephen bluecap,Stephen always wears blue cap even to the church,male,"hair: cap, eyes: black, teeth: none, clothing: shirt, accessories: fashion, expression: smile, strength: kindness, weakness: none",bfb6446e-59ca-11ed-9b6a-0242ac120002,0151919d97b21dc2dfc2de6b2f06ce119387bae76319b8412e598cdf91a70283
218,Tinubu-gateman,Tinubu gateman,Tinubu has been a gateman all his life. He was born to a gateman and his child will be a gateman,male,"hair: cap, eyes: blue, teeth: tongue, clothing: shirt, accessories: fashion, expression: laugh, strength: laughter, weakness: none",bfb645a4-59ca-11ed-9b6a-0242ac120002,f7e616c998d93cfd07f2a25054dc7741a0fe1f5854d4a8f75ad1c8b14976c18e
219,Vampire-girl,Vampire girl,She dresses up as a vampire every haloween,female,"hair: puff-puff, eyes: blue, teeth: two, clothing: blouse, accessories: none, expression: bite, strength: biting, weakness: none",bfb64752-59ca-11ed-9b6a-0242ac120002,c4af36f574f88fcf6841b68f5c70f022332b505f92b6916fac1718d7adb32d5f
220,Yusuf-the-smoker,Yusuf the smoker,A chronic smoker with damaged lungs,male,"hair: cap, eyes: dark-brown, teeth: smoke, clothing: shirt, accessories: fashion, expression: smile, strength: dressing, weakness: smoking",bfb648d8-59ca-11ed-9b6a-0242ac120002,e2269dc01d0d7cd6d2e7f16ca297dec98ec00d7e75a49c7fc031744a6361c531
,,,,,,,5de3e4fcbf75b5bd3207eb0f8095b6469c289cdfae93d4e1693246ee6e76f0d1
221,hng-newbie,hng newbie,A confused hng participant that cannot understand her project,Female,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,0ddbd22c-b3bb-4c72-9f51-0361480bbfa7,a6b48481140a0d3767c374b30a61aac1df83b4abe26346b828e31075a909ad10
222,nene-caroline,nene caroline,A housewife that loves taking care of her family,Female,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,4ce5bcf3-d4ed-4277-8187-cb1797c1ac7e,8324c1e7b1eb4a33cf5a67fee9ad403ff4a26c16a0ef5a5b35e7df8ea155605b
223,wazo-partystopper,wazo partystopper,A Nigerian aunty that loves to attend owambe parties,Female,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,77237cce-bae0-4d60-adad-27055f0eed39,0521a4e0ecfbf4020ae9944c45611886434bab5ecbeca92ba86035a66966d7df
224,melanin-janet,melanin janet,A young lady with a soft personality,Female,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,a5a2854e-a850-4b15-b3c3-176a79b2d34b,d86eedb9c01f613d4ad3b6e976a418cc59bfb4125a7bfcf12df1b4142101ceb5
225,leo-sugarmummy,leo sugarmummy,A middle age wild yankee returnee,Female,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,7ec03993-f500-4a41-aa3c-a73df7a0fbed,005437f621ab700d41a7b06ac8e06844b1aeb149b4a059a8e7f78e933be5649f
226,novice-joane,novice joane,A princess worried about finding true love,Female,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,a5d49163-41b1-43fe-ad7f-0c78ef530b1a,d5b67c8e71848c69db8843d5c739ce75ce6fffae2b808c19ef7bf7e77adc2d44
227,goofy-simbi,goofy simbi,An eccentric teenager that loves music,Female,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,df7dc588-f99c-4592-84f6-08b40047d9d1,32cdd73a73187b549eb7bf80c732a0bf79b503d0502e10c6f937537c3378752f
228,akwaaba-ghana,akwaaba ghana,A depressed gothic introvert,Female,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,d1e8b38b-994b-487c-890b-9034d3ab7dcb,42abf5e6d8969f7ee177c9f66527fad46b7f182144f98c6fd457535f40ab8b3e
229,aunty-toyin,aunty toyin,An oversabi family member,Female,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,1326ef4b-224a-497e-9452-e63a4486e387,b08726a4cfcc1ab7acb40330d186b7b6315232d8cd365b38b4937327d598dde2
230,pretty-hauwa,pretty hauwa,A young bride involved in an early marriage,Female,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,7c771f82-a512-403c-91b9-6736318a8796,9014c19e55042d414d25858faecf260ef899d9651f759c7a01701f13f0a1d642
231,chimamanda-enugu,chimamanda enugu,a young lady born during the war,Female,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,eaad5c98-3f85-4480-9c4e-b73340cfba4f,f0b60333a44018da67b9d0267c5fde0a205c4c61d641fb15cbdd30a56b53ec04
232,kente-solape,kente solape,a respectful and diligent princess,Female,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,613ce65c-4b16-43f8-a0d9-b5ea8c5f2195,c822cca4e77507d8390c4bb4701c8d8f06a2ef9f726a5379e206ad9b2a3644b4
233,vamp-karishika,vamp karishika,Queen of the darkness,Female,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,c4ee8a54-0874-4a7f-8344-dea8ba41f5dc,e3bc14d0b9e1f7271feab62ebd87585f2f1d6810d9b66439f4330e9e20e2a079
234,genz-monique,genz monique,A sassy lady with her own vibe,Female,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,b5328f13-b918-4e76-8d4c-8b4aec5eb5fe,99db4ca50690d413fc9599a9d41548500477d72ed2add3586b3e138ccc9a79cd
235,femi-boltz,femi boltz,A driver hustling his way through life,Male,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,03e8d36d-5bdc-4da4-8f64-c1738eb9d1db,2a498653aedf27571726577f82a9b72721886b6f6c0b270f45ad8ba3ebda2239
236,agba-tech,agba tech,A tech bro that loves to party but has bad communication skill,Male,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,403f28a0-6aa7-4f80-997f-b0982c169baa,7ff54bb9946e6e77d8b11b6b0d656c03925d752aba41c5d3c7bf81c00de32edf
237,brian-richkid,brian richkid,A trust fund baby that does not know how to manage money,Male,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,9d945d79-dd2d-4755-b9c7-bff837be8557,075b89e548ab330e99318be728c1d894a8eeeb0abbf01db1d44f8e14ef6614fb
238,nandi-zulu,nandi zulu,A fierce African Queen,Female,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,09702bc0-d10c-48d3-a1e9-2aaa4e9f3f39,af01ddcfa3cbba84e2c09b8a893f11086dbd4ed89bb7638dd70eb8d3c3aeaabb
239,ade-demon,ade demon,A lekki playboy that makes money from crypto,Male,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,0be2d50b-3e57-4e39-a199-b211d2be860c,98341cfe7fef3029ceac20f1c139be0f3dcf0e9e99ecdecb230d9f2bfa37fe5e
240,karim-rapper,karim rapper,A young and proud Lagos rapper,Male,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,169b58f8-b84a-4ab3-a4b6-d1c5b36aa1d3,9facefcc6de092fb59f6d66f62cd3e1d086ff421b92553777cd565f96d2f5842
,,,,,,,5de3e4fcbf75b5bd3207eb0f8095b6469c289cdfae93d4e1693246ee6e76f0d1
241,bobo-alinco,bobo alinco,Alinco always in the mood for play,male,hair colour: dark brown,ede853c4-5abd-11ed-9b6a-0242ac120002,139500672a09b112f64c86a5c3dea8542d247a9f1b7e275c2d933e3f99f997fa
242,chi-lastborn,chi lastborn,"Baby of the house, the lastborn of an average Nigerian family",female,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,ede85964-5abd-11ed-9b6a-0242ac120002,3cf8a82fb36c13bb9a4be6de1a1330f33ece4a42c67c164383e6c454ac50738d
243,uju-robo-robo,uju robo robo,An aso-oke business woman at balogun market,female,"accessories: ankara beret,",ede85f90-5abd-11ed-9b6a-0242ac120002,cf3f9b5d658da3139d7840022a184ec94e8c2dd234045b811ea066c6c45c1d6e
244,yetunde-anifowose,yetunde anifowose,Old money lady who was in UK before UK was UK,female,"accessories: tobaco pipe,",ede861b6-5abd-11ed-9b6a-0242ac120002,b52ad5bee3b112da2ddb4c6a2104246932d023da7a81c299ccd44be1b430eb57
245,dumebi-jjc,dumebi jjc,Innocent 100 level girl wey never spoil,female,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,ede865da-5abd-11ed-9b6a-0242ac120002,a6e0d3a5189bc51c0fed0050f8bb7bf414c1d2b24a2693ef678ae4aaf544e86c
246,ukwu-nengi,ukwu nengi,Well endowed woman who will always make heads turn,female,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,ede86800-5abd-11ed-9b6a-0242ac120002,5ce3b73c5adc5623a2850006815b6d82b3747f52d81e60c1bb2aba087de95473
247,nonso-malay,nonso malay,"Man on the move. It is either ego, or money my bloder",male,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,ede86a12-5abd-11ed-9b6a-0242ac120002,39057a09d85a23868825f027420766c36d34f4fbccdcc467d69c8b994164874c
248,saro-texaco,saro texaco,An oil tycoon who dominates,male,accessories: cap,ede86c2e-5abd-11ed-9b6a-0242ac120002,7a0ee67f62f93269e75b03d000f3c6b6a81ca375c1f36c3c730613ad5bee0420
249,akpos-agbero,akpos agbero,A Warri boy always in the mood for violence,male,accessories: cap,ede86e22-5abd-11ed-9b6a-0242ac120002,c68fdd23c8e6c02211ac8758301c20445f06a51b90367ba345184f1f98a81a03
250,kasali-danfo,kasali danfo,A danfo driver popular for his positive outlook of life,male,accessories: cap,ede86fbc-5abd-11ed-9b6a-0242ac120002,f10c0c72c20b8e3d18d95b221e595031204e23ac78acc9595feed05c4376ddc6
251,osaz-benz,osaz benz,an Internet fraudster who hails from Edo state,male,teeth: gold,ede87fca-5abd-11ed-9b6a-0242ac120002,e27c27bcce08864c38e932064a8db37415c0f71f4991669e26db04a643a419f0
252,kareem-kasanova,kareem kasanova,Abuja big boy who knows he can get any lady he wants,male,accessories : cap,ede8820e-5abd-11ed-9b6a-0242ac120002,136be5931388dac7089b8a6d6dc2466affab39d54f7d0cccf1cf558812599349
253,mayor-of-uyo,mayor of uyo,Essien is a top Lagos businessman who hails from Uyo,male,accessories: cap,ede883c6-5abd-11ed-9b6a-0242ac120002,069a3852b2c06df80876ef42947cef901d9d5cdb6bda7efd2c27914ecded1d79
254,chinedu-china,chinedu china,An Nnewi blooded spareparts importer and exporter with goods from china,male,accessories: cap,ede885f6-5abd-11ed-9b6a-0242ac120002,7b704c7e9f8649fa022287c85dd360b00f51a082aa80bbacbb6256820c6ab852
255,papa-ekene,papa ekene,The oldest man of the Akwauzu clan,male,accessories: cap,ede88808-5abd-11ed-9b6a-0242ac120002,fe3fe3ad62d0a8bb85123a083894a9207a10cc696b3a4cc7b55915194d76efd6
256,ogbeni-rauf,ogbeni rauf,Minister of enjoyment for Freedom state,male,"teeth: gold, accessories: cap",ede889fc-5abd-11ed-9b6a-0242ac120002,f01efc1a8528bbba8d85792f6603dbdcaf14ad1655a47a4e532009b871cad9a2
257,koffi-banku,koffi banku,E be Charlie wey no dey use en stomach play,male,Hair: . Eyes: . Teeth: . Clothing: . Accessories: . Expression: . Strength: . Weakness: .,ede88c2c-5abd-11ed-9b6a-0242ac120002,98394f523268bdd8c8b82baa325b5201d0dddadc0077fc6b45ebc10040a29db7
258,alhaji-bello,alhaji bello,Rich hausa business mongul controlling half of cow production in Nigeria,male,teeth: gold accessories: cap,ede88efc-5abd-11ed-9b6a-0242ac120002,4f90204b9fdfa987394bdf8c21ba2ac73b1428c131927c0b1e0cec982ffe37ae
259,toju-mafejopami,toju mafejopami,Toju is a street hustler wey no like stress,male,"teeth: gold, accessories: cap",ede895d2-5abd-11ed-9b6a-0242ac120002,a39aacbf7242289a621fd2e8d3faee0457e49b0c0835344cfa9b6d0f4e8c88d6
260,femi-maserati,femi maserati,"Rich kid who resides in lekki, known by everybody because he drives a Maserati",male,accessories: cap,ede89802-5abd-11ed-9b6a-0242ac120002,b1a1b300b46c92aaf5bb2274d0897b770a172f342a5c7deec7e5756749850608
,,,,,,,5de3e4fcbf75b5bd3207eb0f8095b6469c289cdfae93d4e1693246ee6e76f0d1
261,Paul-the-comedian,Paul the comedian,Paul trying hard to make everyone laugh so hard and fall off the chair,Male,"hair:black, eyes: glasses, Teeth: none, clothing: Black and yellow V neck, Expression: cool, Strength: Trustworthiness, Weakness: slow",f8112915-64ca-41e5-9ca4-5b60c47d7a01,a9b3a8968ff4531e1d1b51112428008279e14ffa61749486ce6d9236aeed75f2
262,Amina-lagos-housewife,Amina lagos housewife,Amina is always showing the rich housewife vibes,Female,"hair:red, eyes: blue, Teeth: none, clothing: blue and yellow ankara, Expression: straight face, Strength: Fashionista, weakness: exorbitant",5612f542-d85e-4a2c-8661-20553dfd07bf,8fcaf01f959a83f29a392f6a0ec79630cc7ed363d9f87142043e1fa0d2b202b7
263,Kiekie-the-asoebibella,Kiekie the asoebibella,Kiekie is classfied as the life of the party,Female,"hair:purple, eyes: grey, Teeth: none, clothing: blue and yellow ankara, Expression: smile, Strength: helpful ",097014d5-0ef3-46f5-9a9b-5c01f70114b3,dc7ae37be5e6cb5c1fea38306109957a612ae9a9add20206d22e7a3e15baf42b
264,Kunle-the-hunter,Kunle the hunter,Kunle goes for the best and hits all his targets at bull's eye,Male,"hair:black, eyes: blue, Teeth: none, clothing: one handed yellow ankara, Expression: smile, Strength: Fast, Weakness: cannot speak english",b0310fc2-4bed-48e5-abfc-566c964786d7,51e7af51ad58b6d0afeedf171824e1e92478b36868487378bd5bc666fa844a36
265,Amara-the-hairstylist,Amara the hairstylist,Amara is truly your one stop shop for all your hair & beauty needs.,Female,"hair:purple, eyes: grey, Teeth: none, clothing: multicolour ankara, Expression: none, Strength: multitasker, Weakness: unfriendly",412345b9-7e04-4102-af7c-5458721ac64d,174a5f1a3d9e8f8b966c6fb5504c7690b29faf69782fbdd071553caecf906a34
266,Mary-nail-technician,Mary nail technician,Mary makes magic with her press-on nails,Female,"hair:red, eyes: grey, Teeth: none, clothing: multicolour ankara, Expression: none, Strength: hustler, Weakness: uncoordinated",17ea9c3b-c90f-4023-84d6-d563c098b030,8dd6efeb1b864a0644a2356b14ea15d423ac5a8e2db0857b7a6c8cb3c12ec4fb
267,Odogwu-oil-contractor,Odogwu oil contractor,"From Malaysia to Kaduna, Odogwu's oil is known.",Male,"hair:black, eyes: black with glasses, Teeth: none, clothing: brown and gold guniea, Expression: none, Strength: hustler, Weakness: Taking criticism.",b503bbfb-f972-4d4a-9352-e9dfe6671d36,af73c848262b0020fa4fe3b337e8049188db23ab41a78960c4590acf8fc2ce67
268,Simisola-the-kenteprincess,Simisola the kenteprincess,Simisola rocks kente even in swim outfits,Female,"hair:brown, eyes: blue, Teeth: none, clothing: multicolour yellow kente, Expression: smiling, Strength: Patience, Weakness: Self-criticism",45843017-b421-4413-8e35-7a6ef073f2b9,05ac779aff116388a6334fc774a1063fd6571f1290176038abcd9e18f630cfce
269,Mariam-beauty-queen,Mariam beauty queen,Beauty is a fairy tale where Mariam appears.,Female,"hair:orange, eyes: grey, Teeth: none, clothing: multicolour yellow kente, Expression: straight face, Strength: Disciplined, Weakness: Inability to delegate",b7d96d97-84c2-485f-b60e-e4e86c4d3b34,4e6b9f9cc4f19fb41fe98dbbae1a3350611432570d7f1705e1ad7f00fef574de
270,Obinna-the-musician,Obinna the musician,Obinna might never be an a-list artist,Male,"hair:black, eyes: black with glasses, Teeth: none, clothing: red v-neck ankara, Expression: none, Strength: delegation, Weakness: Lack of experience",afdb0299-327c-46b2-9262-faf90f0fcd12,f40f9121a1d88170680856fda15f0bdfe7c5b983bc240dbf7a83eac7476e159b
271,Sandra-the-shybaby,Sandra the shybaby,Sandra is too shy at parties,Female,"hair:orange, eyes: blue, Teeth: none, clothing: yellow off shoulder, Expression: none, Strength: Friendly, Weakness: Shyness",bfed40a8-74f7-4ada-ae18-975130247efa,db05a08931cb3d368c4c6f61fc5b2c896868566384ba7e713fd0a8ccafb65a4f
272,Chiamaka-the-dancer,Chiamaka the dancer,Chiamaka dances so well and earned the Guinness world record.,Female,"hair:black, eyes: grey, Teeth: none, clothing: yellow off shoulder, Expression: none, Strength: Creativity, Weakness: Lack of confidence",43c49497-8d7b-42ef-bb29-769f6c3b0ada,2a4dc2e01432bcbae0d4375f1fd0896865f354140cf44d46e07d7ca923bbc7de
273,Mensah-fashion-icon,Mensah fashion icon,Mensah outfits are always giving us Christopher Hemsworth vibes.,Male,"hair:black, eyes: black with glasses, Teeth: none, clothing: Gold with kente, Expression: none, Strength: Public speaking, Weakness: Lack of experience",87ada09b-38ac-475c-8d46-18680c2dc795,bee2bccee69755405512f2d9a4c6f5aad6715f23a4f4ee5c22bfb1dc81646970
